Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C2, C25, C35, C37, C39",0603,7,1uF,C15849
"C11, C12, C13, C19, C22, C29, C3, C31, C34, C36, C38, C4, C5, C7",0402,14,100nF,C307331
"C15, C16, C17, C32, C8",0805,5,22uF,C92814
"C18, C23",CP_Elec_8x10.5,2,220uF,C178562
"C20, C21, C24, C33, C6",1206,5,10uF,C13585
C26,0603,1,4.7uF,C19666
"C27, C30",0402,2,10nF,C15195
C28,0402,1,2.7nF,C84704
"D1, D4, D5, D8",TVS_ESDA25P35-1U1M,4,ESDA25P35-1U1M,C1974707
"D10, D11",0603,2,Green,C7496818
D12,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
"D2, D3",TVS_ESDA25P35-1U1M,2,ESDA7P60-1U1M,C1975146
"D6, D7, D9",0603,3,Blue,C7496819
F1,1812,1,3A,C2760295
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
J2,Molex_PicoBlade_53398-0471_1x04-1MP_P1.25mm_Vertical,1,533980471,C17617036
J3,Molex_PicoBlade_53398-0671_1x06-1MP_P1.25mm_Vertical,1,533980671,C277393
J4,"PhoenixContact_MC_1,5_4-GF-3.5_1x04_P3.50mm_Horizontal_ThreadedFlange_MountHole",1,Screw_Terminal_01x04,
L1,IND_VLCF4028T-100M1R0-2,1,10uH,C694593
L2,L_Vishay_IHLP-2020,1,4.7uH,C845007 
Q1,TRANS_STL9P3LLH6,1,STL9P3LLH6,C2969828
R1,2512,1,50mΩ,C375690
"R10, R11, R12",0402,3,432Ω,C25113
R13,0402,1,51KΩ,C25794
"R14, R2, R8",0402,3,2KΩ,C4109
"R15, R5",0402,2,22KΩ,C25768
R18,0805,1,25mΩ,C2767472
"R19, R20, R6, R7",0402,4,10Ω,C25077
"R21, R29, R3, R30, R37",0402,5,100KΩ,C25741
R22,0402,1,8.2KΩ,C36953
R23,0402,1,15KΩ,C25539
R24,0402,1,31.6KΩ,C226989
R25,0402,1,48.7KΩ,C26981
"R27, R28",0402,2,10KΩ,C25531
R38,1210,1,33Ω,C105005
R39,1210,1,249Ω,C874850
R4,0402,1,100Ω,C25076
R9,0402,1,1MΩ,C26083
SW1,SW_SPST_B3U-1000P-B,1,RESET,C231329
SW2,SW_SPST_B3U-1000P-B,1,BOOT,C231329
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,STUSB4500,C2678061
U2,VSSOP-10_3x3mm_P0.5mm,1,INA228,C2887910
U3,SOT-23-6,1,TPS560430,C524782
U4,VQFN21_RYQ_TEX,1,TPS552872RYQR,C22397842
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913201
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,TC4427,C636893
U7,SOT-23-5,1,SN74LV1T34DBV,C100024
