Designator,Mid X,Mid Y,Rotation,Layer
C1,116.525,-70.15,180.0,top
C11,127.766622,-78.2,0.0,top
C12,131.033126,-78.2,0.0,top
C13,130.25,-83.4,0.0,top
C14,130.996252,-84.55,180.0,top
C15,131.221252,-86.425,0.0,top
C16,131.221252,-88.4,0.0,top
C17,131.221252,-90.4,0.0,top
C18,144.0,-83.05,90.0,top
C19,132.85,-82.6576,270.0,top
C2,113.325001,-70.15,0.0,top
C20,126.976748,-91.3,0.0,top
C21,126.976748,-88.95,0.0,top
C22,128.55,-83.4,180.0,top
C23,118.0,-85.2,90.0,top
C24,126.976748,-86.6,0.0,top
C25,127.8,-84.55,0.0,top
C26,134.1,-78.4,180.0,top
C27,124.79,-81.8,0.0,top
C28,136.22,-79.95,180.0,top
C29,124.8,-78.8,0.0,top
C3,118.9,-75.4625,180.0,top
C30,136.22,-81.053063,180.0,top
C31,137.15,-53.85,270.0,top
C32,135.7,-53.6,90.0,top
C33,171.5,-73.5,0.0,top
C34,156.95,-76.35,270.0,top
C35,150.3,-76.35,270.0,top
C36,161.5,-69.27,270.0,top
C37,158.5,-54.15,90.0,top
C38,117.02,-53.2125,0.0,top
C39,123.5,-53.4,0.0,top
C4,104.82,-85.85,180.0,top
C5,115.025,-60.9,270.0,top
C6,107.9,-58.1,90.0,top
C7,109.9,-57.82,270.0,top
C8,116.55,-64.825,270.0,top
D1,107.5,-93.7,90.0,top
D10,122.9,-66.0,0.0,top
D11,122.9,-61.05,0.0,top
D12,121.615,-55.4,0.0,top
D2,106.5,-75.5,0.0,top
D3,106.5,-73.5,0.0,top
D4,106.5,-77.1,0.0,top
D5,106.5,-71.9,0.0,top
D6,130.2,-66.0,0.0,top
D7,130.2,-61.05,0.0,top
D8,106.5,-70.3,0.0,top
D9,130.2,-56.1,0.0,top
F1,110.5,-97.8625,270.0,top
J1,99.6105,-75.0,270.0,top
J2,171.425,-68.85,0.0,top
J3,171.425,-79.05,0.0,top
J4,137.555,-100.15,0.0,top
L1,112.65,-64.325,0.0,top
L2,129.4,-74.8,0.0,top
Q1,110.575,-92.6875,180.0,top
R1,107.7,-80.2,0.0,top
R10,130.4775,-64.6,180.0,top
R11,130.4775,-59.65,180.0,top
R12,130.4775,-54.7,180.0,top
R13,115.16,-57.66,180.0,top
R14,123.1775,-64.6,180.0,top
R15,113.1275,-57.66,0.0,top
R18,137.5,-88.95,0.0,top
R19,135.6,-84.0,0.0,top
R2,118.9,-72.5125,180.0,top
R20,135.6,-84.95,0.0,top
R21,137.65,-82.8,180.0,top
R22,123.1775,-59.65,180.0,top
R23,134.3,-81.053063,0.0,top
R24,134.3,-82.15,180.0,top
R25,124.79,-82.8,180.0,top
R27,160.4,-69.24,270.0,top
R28,164.3,-58.5,270.0,top
R29,136.91,-63.4,0.0,top
R3,107.6,-91.1625,0.0,top
R30,136.91,-62.13,0.0,top
R37,158.9,-64.16,90.0,top
R38,152.2,-100.0,270.0,top
R39,155.4,-100.0,270.0,top
R4,118.9,-74.5125,0.0,top
R5,118.9,-73.5125,180.0,top
R6,104.81,-83.75,180.0,top
R7,104.81,-84.75,180.0,top
R8,118.9,-76.4375,0.0,top
R9,101.39,-69.2,0.0,top
SW1,162.4,-55.78,0.0,top
SW2,162.4,-65.8,0.0,top
U1,115.175,-73.7625,270.0,top
U2,100.685,-84.55,270.0,top
U3,112.5,-59.85,90.0,top
U4,129.399874,-80.803,0.0,top
U5,148.0,-62.183,0.0,top
U6,153.735,-76.0,180.0,top
U7,113.84,-54.1625,180.0,top
